Name,Location,Campus Size,Power Capacity,Owner,Built Date,AIDC?,PUE,Leasing Price,Build Cost,Source(s)/Notes
"NTT TKY11 (Shiroi, Chiba)","Shiroi-shi, Chiba",Part of 250MW campus,50 MW IT capacity,NTT Global Data Centers Japan,Planned service start Apr 2027,Yes (built for hyperscaler/AI cloud demand),Not disclosed,Not disclosed,Not disclosed,"nttdata.com release; Baxtel (listed as NTT: Shiroi SHR1, status Construction+Planned)"
"NTT TKY12 (Shiroi, Chiba)","Shiroi-shi, Chiba","Site 219,285 sqm; 6 buildings planned",~200 MW (campus total ~250 MW),NTT Global Data Centers Japan,Development started Apr 2026; Phase 1 service 2030+,Yes (AI/cloud demand),Not disclosed,Not disclosed,Not disclosed,"nttdata.com release; Nikkei; Baxtel (listed as NTT: Tokyo TKY12, status Construction+Planned)"
NTT DATA Osaka North 1,"Ibaraki City, Osaka","5,000 sqm server room; part of 36MW campus",18 MW IT load (Phase 1 of 36MW) — Baxtel-confirmed,NTT DATA / NTT Global Data Centers,Construction starts ~autumn 2025; Phase1 service start 2H FY2027; Phase2 completion 2032,"Yes (AI, direct liquid cooling)",Not disclosed,Not disclosed,Not disclosed,"Mingtiandi; DCD; nttdata.com; Baxtel (listed as NTT: Osaka North 1(OSK12), Construction, 18MW confirmed)"
NTT West Osaka & Fukuoka Next-Gen AI Data Centers,Osaka and Fukuoka (dual sites),Not disclosed,Not disclosed,NTT West,Announced; target ~FY2029,"Yes (next-gen AI-ready, liquid cooling, submarine cable connectivity)",Not disclosed,Not disclosed,Not disclosed,Data Center Café
Telehouse Tokyo Tama 5-2nd,"Tama-shi, Tokyo","8 floors above ground + 1 basement; ~1,900 racks",18 MW (Tama area total to reach ~100MW),KDDI (Telehouse),Construction started Jun 2025; opening planned autumn 2027,"Yes (AI-era demand, water-cooling for GPU servers)",Not disclosed,Not disclosed,Not disclosed (KDDI's separate JPY100bn compute-infra investment not facility-specific),biz.kddi.com; ITmedia
"SoftBank/IDC Frontier Hokkaido Tomakomai AI DC (""Core Brain"")","Tomakomai, Hokkaido","Eventual site ~700,000 sqm (Baxtel confirms 7,500,000 SqFt ≈ 696,800 sqm)",First phase 50MW (targeted FY2026); eventual >300MW,SoftBank Corp. + IDC Frontier,Groundbreaking Apr 2025; first phase targeted FY2026 (status as of mid-2026 uncertain — may be nearing completion),"Yes (Japan's largest AI-purpose compute infra, 100% Hokkaido renewable power)",Not disclosed,Not disclosed,Govt (METI) subsidy ~JPY30bn disclosed; total build cost undisclosed,"softbank.jp sbnews; Nikkei xTECH; Baxtel (listed as SoftBank: Hokkaido Campus, status Construction+Planned)"
KDDI Osaka Sakai Data Center — expansion phase,"Sakai City, Osaka (former Sharp plant site)",Reused Sharp factory site/buildings,Expansion from 150 MW (operational since Jan 2026) to planned 250 MW,KDDI Corporation,Expansion phase — no completion date disclosed; initial 150MW phase already operational (Baxtel confirms Operational status),"Yes (liquid+air cooled, NVIDIA GB200 NVL72, sovereign/physical AI)",Not disclosed,Not disclosed,Not disclosed (site acquisition ~JPY1bn cited; total capex undisclosed),KDDI Newsroom; Nikkei; Baxtel
MC Digital Realty additional Inzai land / future campus,"Inzai City, Chiba",Combined campus targeting 120+ MW total,120+ MW (aggregate plan),MC Digital Realty,Under development; no completion date disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,Data Center Café; Cloud Watch
Colt Inzai 5,"Chuokita, Inzai-shi, Chiba",2.5-acre site,Not disclosed,Colt Data Centre Services,"Under development; not yet commissioned, no date disclosed (Baxtel status: Planned, not yet Construction)",Unknown,Not disclosed,Not disclosed,Not disclosed,datacenterHawk; Baxtel
DayOne Fuchu (GDS Services / Gaw Capital JV),"Fuchu Intelligent Park, Fuchu City, Tokyo","10,970 sqm (118,080 sq ft) land, two plots",40 MW full buildout (originally announced as 50MW),"GDS Services (rebranded ""DayOne"" Jan 2025) + Gaw Capital Partners",Phase 1 targeted end of 2026,"Unknown (GDS cites AI demand context, no explicit spec)",Not disclosed,Not disclosed,Not disclosed,Mingtiandi; Baxtel (confirms Construction status)
STT Tokyo 2,"Goodman Business Park, Inzai City, Chiba","Part of 60,000 sqm combined GFA (shared w/ Tokyo 1)",>38 MW (Baxtel-confirmed; campus combined up to 70MW),ST Telemedia Global Data Centres (STT GDC),"Baxtel estimated launch Q1 2026 (earlier PR said early 2027 — dates conflict, treat with caution)","Unknown/Yes-adjacent (JDCC-compliant, carbon-neutral design)",Not disclosed,Not disclosed,Not disclosed,STT GDC Newsroom; Cloud Watch; Baxtel
"STACK Infrastructure TKY01B (Inzai Campus, 2nd building)","Inzai District, Chiba",Part of 2.3-hectare campus; 18MW building,18 MW (TKY01A 18MW already live; TKY01B still under development),STACK Infrastructure (w/ Oaktree Capital),Under development; no completion date disclosed,Yes (marketed AI-ready; Baxtel Type tag: HPC),Not disclosed,Not disclosed,Not disclosed,STACK Infra; GlobeNewswire; Baxtel
STACK Infrastructure Osaka KIX01 Campus,Osaka (KIX area),Not disclosed,80 MW planned,STACK Infrastructure,Under development; no completion date disclosed,Yes (critical AI/hyperscale capacity for Kansai; Baxtel Type tag: HPC),Not disclosed,Not disclosed,Not disclosed,STACK Infra; Baxtel
Vantage KIX1 (Osaka campus),"Ibaraki, Osaka","45,000 sqm (485,000 sq ft) land; 2 buildings; Baxtel confirms 200,000 SqFt for the building under construction",Total campus up to 68 MW; first facility 28MW,Vantage Data Centers,Groundbreaking May 2024; Baxtel estimated launch Q1 2026,"Unknown (""AI-ready"" mentioned generically)",Not disclosed,Not disclosed,Not disclosed,DCD; Vantage news release; Baxtel
Vantage Tokyo campus (Sagamihara),"Sagamihara, Kanagawa","28,000 sqm (300,000 sq ft); 3 planned multi-story earthquake-resistant buildings",Not disclosed,Vantage Data Centers,"Not yet operational; planning/datasheet stage, no date disclosed",Unknown,Not disclosed,Not disclosed,Not disclosed,Vantage APAC Tokyo datasheet
"Freyr Technology AI / ""AI Tech Tomakomai"" SPC Data Center","Tomakomai City, Hokkaido",Container-type DC,"50,000 kW (50 MW) power receiving capacity","Freyr Technology AI (Singapore) via SPC ""AI Tech Tomakomai""",Planned completion ~spring 2027,Yes (NVIDIA GPU-based generative AI processing),Not disclosed,Not disclosed,~JPY350 billion total investment (approx.),Nikkei; Hokkaido Semiconductor Navi
"SC Zeus Data Centers ""Zeus OSA1"" (Osaka Campus)","Suminoe-ku, Osaka City",Not disclosed,25 MW IT load (Phase 1) — Baxtel-confirmed,SC Zeus Data Centers + Tokyo Tatemono (JV),Construction start Dec 2025; Baxtel estimated launch Q4 2027,"Yes (hyperscale, positioned for AI/cloud demand)",Not disclosed,Not disclosed,Not disclosed,Tokyo Tatemono; Baxtel
APL + Global Compute Infrastructure (GCI) Kitakyushu Campus,"Kitakyushu City, Fukuoka",15.5-acre site; 120MW campus plan,120 MW total (first phase 60MW),APL Group + Global Compute Infrastructure JV; Nippon Steel Kowa Real Estate,First 60MW phase targeted Sept 2027,Yes (built for AI and hyperscale cloud demand),Not disclosed,Not disclosed,Not disclosed,Data Center Café; Nippon Steel Kowa RE
"Google-affiliated Data Center, Mihara (""Asa LLC"")","Hongo Industrial Park, Mihara City, Hiroshima","275,000 sqm floor area",Not disclosed,"Alphabet-affiliated entity ""Asa LLC"" (believed)",Planned; opening ~2028,Unknown,Not disclosed,Not disclosed,~JPY100 billion,Nikkei; Nikkei xTECH
Microsoft Japan AI DC Investment (w/ SoftBank & Sakura Internet),Locations not yet individually disclosed (nationwide),Not disclosed,Not disclosed,"Microsoft, in partnership with SoftBank and Sakura Internet","Announced Apr 3, 2026; 4-year investment program, individual sites/dates not yet disclosed",Yes (AI-infrastructure focused),Not disclosed,Not disclosed,"USD 10 billion (~JPY1.6 trillion) over 4 years (aggregate program, not one facility)",Bloomberg; Microsoft News Center Japan
AWS Hamura (new build),"Hamura, Tokyo",7-floor Building 1 (footprint not disclosed),Not disclosed,AWS,Under construction as of last report; planned completion 2026 (status as of mid-2026 uncertain),Likely (part of AWS post-2024 AI-driven capacity expansion),"Company-wide figure (1.15, 2024)",Not Applicable,Part of AWS's $15.24bn Japan commitment (2024-2027),Baxtel; DCD
Oracle Alloy / NTT sovereign cloud — Japan West portion,Osaka (NTT GDC facility),Not disclosed,Not disclosed,NTT (facility owner) / Oracle (Alloy software layer),Japan West planned by Mar 2027 (Japan East portion targeted Dec 2025 may already be live),Sovereign-cloud AI-capable infra (not a distinct AI-only campus),Not disclosed,Not Applicable,Falls under Oracle's >$8bn Japan commitment; NTT facility capex not disclosed,DCD
Ada Infrastructure: Tokyo East 1,Tokyo,Baxtel size bucket: Medium,Not disclosed,Ada Infrastructure,Construction (Baxtel); no completion date disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel (baxtel.com/data-center/tokyo)
Ada Infrastructure: TKW1 DC2,Tokyo,Baxtel size bucket: Small,Not disclosed,Ada Infrastructure,Construction (Baxtel); no completion date disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Princeton Digital Group TY1 Campus DC2,"Saitama City, Saitama",Not disclosed,48 MW (Baxtel-confirmed),Princeton Digital Group,Construction; estimated launch Q3 2026 (Baxtel),Yes (2nd building of AI-ready TY1 campus),Not disclosed,Not disclosed,Included in PDG's ~$1bn TY1 campus investment,Baxtel (listed as Princeton PDG TY1 DC2)
AirTrunk: TOK1 DC4,Tokyo,Baxtel size bucket: Large,40 MW (Baxtel-confirmed),AirTrunk,Construction; estimated launch Q4 2026 (Baxtel),Likely (hyperscale/AI-era capacity),Not disclosed,Not disclosed,Not disclosed,Baxtel
AirTrunk: Osaka OSK1,Osaka,"177,605 SqFt (Baxtel)",20 MW (Baxtel-confirmed),AirTrunk,Construction; estimated launch Q4 2026 (Baxtel),Likely (hyperscale/AI-era capacity),Not disclosed,Not disclosed,Not disclosed,Baxtel
ESR Group: Higashikurume,"Higashikurume, Tokyo",Baxtel size bucket: Medium,Not disclosed,ESR Group,Construction (Baxtel); no completion date disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
ESR Group: OS2,Osaka,Baxtel size bucket: Medium,Not disclosed,ESR Group,Construction (Baxtel); no completion date disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
ESR Group: Keihanna OS4,"Keihanna, Osaka",Baxtel size bucket: Large,Not disclosed,ESR Group,Construction+Planned (Baxtel); no completion date disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Flow Digital Infrastructure: Tokyo TK7,Tokyo,Baxtel size bucket: Small,Not disclosed,Flow Digital Infrastructure,Construction (Baxtel); no completion date disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Goodman Group: Shirakami,"Shirakami area, Japan (exact prefecture not disclosed by Baxtel)",Baxtel size bucket: Large,Not disclosed,Goodman Group,Construction+Planned (Baxtel); no completion date disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
"I-NET Corp: Annex, Tokyo",Tokyo,"4,090 SqFt (Baxtel)","0 MW (Baxtel; likely support/office annex, not IT load space)",I-NET Corp.,Construction (Baxtel); no completion date disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
Keppel DC: Tokyo 2,Tokyo,"361,667 SqFt (Baxtel)",36 MW (Baxtel-confirmed),Keppel Data Center REIT,Construction; estimated launch Q4 2026 (Baxtel),Likely (large new hyperscale-class build),Not disclosed,Not disclosed,Not disclosed,Baxtel
NEXTDC: TK1 Tokyo,Tokyo,Baxtel size bucket: Medium,Not disclosed,NEXTDC,Construction (Baxtel); no completion date disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
"AWS Tokyo — ""Hyperscale Data Center"" (internal codename, under construction)",Tokyo,Baxtel size bucket: Medium,Not disclosed,Amazon AWS,Construction (Baxtel); no completion date disclosed,Likely (part of AWS AI-driven capacity expansion),"Company-wide figure (1.15, 2024)",Not Applicable,Not disclosed per-facility,Baxtel
Equinix: OS5x,Osaka,Baxtel size bucket: Small,Not disclosed,Equinix (xScale),Construction (Baxtel); no completion date disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
NTT: Nishiai,Osaka,Baxtel size bucket: Large,Not disclosed,NTT,Construction+Planned (Baxtel); no completion date disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel
"Vantage KIX12 (Osaka, 2nd building)",Osaka (KIX area),Baxtel size bucket: Large,Not disclosed,Vantage Data Centers,Construction (Baxtel); no completion date disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel (listed as Vantage: KIX12)
"SoftBank: Sakai, Osaka","Sakai City, Osaka","8,072,933 SqFt (Baxtel) — distinct site from KDDI's separate Sakai, Osaka facility",50 MW (Baxtel-confirmed),SoftBank Corp.,Construction+Planned; estimated launch Q4 2026 (Baxtel),Yes (part of SoftBank's AI Data Center GPU Cloud platform push),Not disclosed,Not disclosed,Not disclosed,"Baxtel (note: separate project from ""KDDI Osaka Sakai Data Center"" despite shared city)"
"APL / Global Compute: Kyushu (Itoshima, Fukuoka)","Itoshima, Fukuoka","1,313,197 SqFt (Baxtel)",Not disclosed,"Asia Pacific Land (APL) Group, w/ Goldman Sachs investment",Construction+Planned (Baxtel); no completion date disclosed,Unknown,Not disclosed,Not disclosed,Not disclosed,Baxtel (location differs from the Kitakyushu APL+GCI project reported elsewhere — may be a separate site)
